source,target,probability_mean,probability_std,numeric_score_target,known_positive,source_type,target_type,score_final,symbolic_confidence,sym_base_score,path_length,sym_category,neurosymbolic_score
_:b116,BLockGame,0.25408711923602656,0.12922493649786368,0.12935257077791257,False,DatavaluedPropertyAtom,Badge,0.22914020954440378,0.08939130203804733,0.125,8,indirect,0.14703483805734008
_:b125,BLockGame,0.25408711923602656,0.12922493649786368,0.12935257077791257,False,DatavaluedPropertyAtom,Badge,0.22914020954440378,0.08939130203804733,0.125,8,indirect,0.14703483805734008
isRelevantFor,bonusPoints,0.09138529647978791,0.16182139454902267,0.0,False,ObjectProperty,BonusPoints,0.07310823718383033,0.17689130203804734,0.25,4,indirect,0.14696420009265654
hasRelevantGameElement,bonusPoints,0.09138529647978791,0.16182139454902267,0.0,False,ObjectProperty,BonusPoints,0.07310823718383033,0.17689130203804734,0.25,4,indirect,0.14696420009265654
_:b62,Stash,0.27167880724525784,0.1502540794511233,0.9172442572270822,False,Restriction,Reward,0.40079189724162273,0.0796690798158251,0.1111111111111111,9,indirect,0.14687248441612655
Task_about_Event_Handler_and_Listener,bonusPoints,0.2978787268490149,0.1188675741643656,0.0,False,GamifiedResource,BonusPoints,0.23830298147921192,0.06552766567441097,0.09090909090909091,11,indirect,0.14685053708552234
UnderstandingPole,Tiny_stash,0.2859315955003058,0.2663780623312438,0.0415518252487452,False,Class,Reward,0.2370556414499937,0.07189130203804733,0.1,10,indirect,0.14680540474983778
ProcessingPole,Tiny_stash,0.2859315955003058,0.2663780623312438,0.0415518252487452,False,Class,Reward,0.2370556414499937,0.07189130203804733,0.1,10,indirect,0.14680540474983778
has_description,Stash,0.22988979498930878,0.15809901919469008,0.9172442572270822,False,FunctionalProperty,Reward,0.36736068743686345,0.10189130203804733,0.14285714285714285,7,indirect,0.14669077457098884
bonus resource for lesson 4 Class Methods and Constructors,BLockGame,0.10315168326743289,0.1635722306644164,0.12935257077791257,False,unknown,Badge,0.10839186076952884,0.16997371886808035,0.16666666666666666,6,indirect,0.14658600640785374
ressource bonus pour la leçon 4 Méthodes et constructeurs de classe,BLockGame,0.10315168326743289,0.1635722306644164,0.12935257077791257,False,unknown,Badge,0.10839186076952884,0.16997371886808035,0.16666666666666666,6,indirect,0.14658600640785374
designedWithObjective,bonusPoints,0.0894479340277577,0.16302865014432405,0.0,False,TransitiveProperty,BonusPoints,0.07155834722220616,0.17689130203804734,0.25,4,indirect,0.14628612323444598
_:b271,bonusPoints,0.0890437404227197,0.163159529819926,0.0,False,ClassAtom,BonusPoints,0.07123499233817576,0.17689130203804734,0.25,4,indirect,0.14614465547268268
_:b252,bonusPoints,0.08904373446225523,0.16315951650128607,0.0,False,ClassAtom,BonusPoints,0.07123498756980419,0.17689130203804734,0.25,4,indirect,0.1461446533865201
_:b218,bonusPoints,0.08902034956197483,0.16317205642422639,0.0,False,ClassAtom,BonusPoints,0.07121627964957987,0.17689130203804734,0.25,4,indirect,0.14613646867142197
_:b136,bonusPoints,0.08902034956197483,0.16317205642422639,0.0,False,ClassAtom,BonusPoints,0.07121627964957987,0.17689130203804734,0.25,4,indirect,0.14613646867142197
_:b147,bonusPoints,0.08902034956197483,0.16317205642422639,0.0,False,ClassAtom,BonusPoints,0.07121627964957987,0.17689130203804734,0.25,4,indirect,0.14613646867142197
_:b229,bonusPoints,0.08902034956197483,0.16317205642422639,0.0,False,ClassAtom,BonusPoints,0.07121627964957987,0.17689130203804734,0.25,4,indirect,0.14613646867142197
