"source","target","relation","weight","symmetric","transitive"
"plan","Person","domain","1.0","0","0"
"publications","Agent","domain","1.0","0","0"
"schoolHomepage","SpatialThing","domain","1.0","0","0"
"skypeID","Agent","domain","1.0","0","0"
"thumbnail","ImageObject","domain","1.0","0","0"
"thumbnail","ImageObject","range","0.629032","0","0"
"topic","Document","domain","1.0","0","0"
"topic","Resource","domain","1.0","0","0"
"weblog","Agent","domain","1.0","0","0"
"weblog","Agent","domain","1.0","0","0"
"workInfoHomepage","Person","domain","1.0","0","0"
"workplaceHomepage","SpatialThing","domain","1.0","0","0"
"workplaceHomepage","Resource","range","0.629032","0","0"
